status,source_file,output_file,preset,original_size_bytes,converted_size_bytes,message
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ redutor-creme-multifuncional-11-ativos-body-action-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/redutor-creme-multifuncional-11-ativos-body-action-1kg_card.webp,card,53435,9120,52.2 KB -> 8.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ redutor-creme-multifuncional-11-ativos-body-action-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/redutor-creme-multifuncional-11-ativos-body-action-1kg_detail.webp,detail,53435,27650,52.2 KB -> 27.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ redutor-creme-multifuncional-11-ativos-body-action-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/redutor-creme-multifuncional-11-ativos-body-action-1kg_hero.webp,hero,53435,39346,52.2 KB -> 38.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ serum-preenchedor-hyalu8-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/serum-preenchedor-hyalu8-30ml_thumbnail.webp,thumbnail,65966,3606,64.4 KB -> 3.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ serum-preenchedor-hyalu8-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/serum-preenchedor-hyalu8-30ml_card.webp,card,65966,10812,64.4 KB -> 10.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ serum-preenchedor-hyalu8-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/serum-preenchedor-hyalu8-30ml_detail.webp,detail,65966,30940,64.4 KB -> 30.2 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ serum-preenchedor-hyalu8-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/serum-preenchedor-hyalu8-30ml_hero.webp,hero,65966,44018,64.4 KB -> 43.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ creme-emoliente-de-cravos-com-trieta-500g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/creme-emoliente-de-cravos-com-trieta-500g_thumbnail.webp,thumbnail,46808,2326,45.7 KB -> 2.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ creme-emoliente-de-cravos-com-trieta-500g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/creme-emoliente-de-cravos-com-trieta-500g_card.webp,card,46808,7214,45.7 KB -> 7.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ creme-emoliente-de-cravos-com-trieta-500g.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/creme-emoliente-de-cravos-com-trieta-500g_detail.webp,detail,46808,21538,45.7 KB -> 21.0 KB
